branchFactor, leafSize, nodeIntersections, shadowNodeIntersections, allNodeIntersections, leafIntersections, shadowLeafIntersections, allLeafIntersections, leafFullness

2, 1, 1.0, 1.0, 2.0, 0.2726231731667521, 0.2521072191848934, 0.5247303923516455, 1.0
2, 2, 0.8935540914395665, 0.9017683230783373, 1.7953224145179039, 0.15611798476368416, 0.2686609693613651, 0.42477895412504924, 0.9949792500000001
2, 3, 0.8358004524080999, 0.8555078346136343, 1.6913082870217342, 0.22966531573776333, 0.41874769527209754, 0.6484130110098609, 0.9910360833333333
2, 4, 0.7972153980617885, 0.8162797413749545, 1.613495139436743, 0.17035856568114843, 0.3618252184803523, 0.5321837841615007, 0.987947375
2, 5, 0.7810341232450049, 0.7823289549586531, 1.563363078203658, 0.19196462319696372, 0.3937471488496379, 0.5857117720466016, 0.9864393499999999
2, 6, 0.7528039342710573, 0.7597380048138647, 1.512541939084922, 0.14365440691418818, 0.349100444599391, 0.4927548515135792, 0.9853807916666667
2, 7, 0.7262880395001093, 0.7329459397708109, 1.4592339792709201, 0.14252558908943433, 0.3509265799858695, 0.49345216907530387, 0.985355357142857
2, 8, 0.7213946523864337, 0.7215573376068425, 1.4429519899932761, 0.1345944958018022, 0.3306240036381603, 0.4652184994399625, 0.9870834062499999
2, 9, 0.7001204041531827, 0.703014453989633, 1.4031348581428156, 0.13073073188559628, 0.36390872895071624, 0.4946394608363125, 0.9864999722222223
2, 10, 0.6927486475704865, 0.685065029569344, 1.3778136771398306, 0.10522086762577604, 0.29241208704447186, 0.3976329546702479, 0.9864728
2, 11, 0.6792973103425445, 0.6827161955502485, 1.3620135058927931, 0.1033370660864022, 0.33387748699991326, 0.43721455308631546, 0.9885276818181818
2, 12, 0.6663850745041828, 0.6614825697622578, 1.3278676442664405, 0.11129171098096388, 0.2914003249740841, 0.402692035955048, 0.9877721875
2, 13, 0.6594620296885715, 0.6663492913516065, 1.3258113210401778, 0.09972268142474364, 0.30728237537120645, 0.4070050567959501, 0.9860212692307693
2, 14, 0.6581792194794011, 0.6575099209780992, 1.3156891404575002, 0.0902832819699331, 0.29901953585185836, 0.38930281782179144, 0.9822368928571428
2, 15, 0.6373392698152611, 0.6409589546206248, 1.2782982244358858, 0.11766136031326349, 0.35077527758195076, 0.4684366378952143, 0.9864148666666666
2, 16, 0.6369480645247815, 0.6349729839284295, 1.271921048453211, 0.08677586452868238, 0.28726347262233204, 0.37403933715101445, 0.9803748124999999

3, 1, 0.5299067060169174, 0.5626239908635875, 1.0925306968805049, 0.30014518598582385, 0.2540322969842026, 0.5541774829700264, 1.0
3, 2, 0.4505618769112188, 0.490144625209943, 0.9407065021211618, 0.245736333797021, 0.27488455274716384, 0.5206208865441848, 0.994547125
3, 3, 0.41282974325257665, 0.4659546777082268, 0.8787844209608034, 0.3444143816609458, 0.44021115996450905, 0.7846255416254548, 0.9909183333333333
3, 4, 0.3802237739321544, 0.4335613490767635, 0.8137851230089179, 0.2762301556668996, 0.3445471321343816, 0.6207772878012812, 0.98297675
3, 5, 0.35914878475546824, 0.4209492966353817, 0.78009808139085, 0.3196794940969594, 0.4640039795427344, 0.7836834736396938, 0.9612652
3, 6, 0.35082267455113325, 0.4016602502139982, 0.7524829247651315, 0.24959216231528464, 0.37164311200407496, 0.6212352743193597, 0.9862307083333334
3, 7, 0.3321929679090212, 0.39352367571903557, 0.7257166436280568, 0.2831888665934317, 0.4350077533811975, 0.7181966199746292, 0.95445925
3, 8, 0.3187076331163833, 0.3763898961855739, 0.6950975293019572, 0.26120457884879855, 0.35269353738050374, 0.6138981162293022, 0.9774056562500001
3, 9, 0.3149424325124698, 0.3653228573607536, 0.6802652898732233, 0.28096242601592725, 0.4136960882889741, 0.6946585143049013, 0.9564733888888889
3, 10, 0.30616633094814205, 0.35900299351994713, 0.6651693244680892, 0.25377086462941567, 0.3600017776519759, 0.6137726422813916, 0.9540535
3, 11, 0.2887606597641822, 0.348546017961782, 0.6373066777259642, 0.24642039246859984, 0.3724241889881045, 0.6188445814567043, 0.9683785454545454
3, 12, 0.28577549743487507, 0.34451888755325233, 0.6302943849881274, 0.22927777308398986, 0.3761734103391388, 0.6054511834231286, 0.95522475
3, 13, 0.2680378408945029, 0.33720203623778033, 0.6052398771322832, 0.2474564811486618, 0.3968669167982229, 0.6443233979468848, 0.9741585769230768
